IC,Method,MSE,RMSE,R2
"[np.float64(-2.025711917409467), np.float64(-14.154529808707679), np.float64(2.9627050689643113)]",Hybrid,0.0001171601252281107,0.010824053086903755,0.9962256550788879
"[np.float64(-2.025711917409467), np.float64(-14.154529808707679), np.float64(2.9627050689643113)]",RC(ESN),2.021747578671287e-10,1.4218817034730023e-05,0.9999999937707725
"[np.float64(-7.3599727652761935), np.float64(-17.776299121008336), np.float64(24.927749938790697)]",RNN,0.002389100845903158,0.04887842924954891,0.9470780491828918
"[np.float64(-7.3599727652761935), np.float64(-17.776299121008336), np.float64(24.927749938790697)]",Transfer,3.828706030617468e-05,0.006187653861212235,0.9991042017936707
"[np.float64(-7.3599727652761935), np.float64(-17.776299121008336), np.float64(24.927749938790697)]",MAML,0.00016550940927118063,0.012865046026780496,0.996213436126709
"[np.float64(-7.3599727652761935), np.float64(-17.776299121008336), np.float64(24.927749938790697)]",PINN,0.0018391693010926247,0.04288553720186591,0.9594141840934753
"[np.float64(-7.3599727652761935), np.float64(-17.776299121008336), np.float64(24.927749938790697)]",Hybrid,0.00011186759365955368,0.010576747782733296,0.9973446726799011
"[np.float64(-7.3599727652761935), np.float64(-17.776299121008336), np.float64(24.927749938790697)]",RC(ESN),2.6197945101557197e-10,1.618577928354307e-05,0.9999999943152001
"[np.float64(26.350645373118702), np.float64(20.24961555451528), np.float64(-4.032639888533577)]",RNN,0.0025030833203345537,0.05003082370233928,0.9457079768180847
"[np.float64(26.350645373118702), np.float64(20.24961555451528), np.float64(-4.032639888533577)]",Transfer,3.441470835241489e-05,0.005866405062081453,0.9992148280143738
"[np.float64(26.350645373118702), np.float64(20.24961555451528), np.float64(-4.032639888533577)]",MAML,0.0001716656843200326,0.013102125183344594,0.9961554408073425
"[np.float64(26.350645373118702), np.float64(20.24961555451528), np.float64(-4.032639888533577)]",PINN,0.0019317111000418663,0.04395123547799159,0.9583455920219421
"[np.float64(26.350645373118702), np.float64(20.24961555451528), np.float64(-4.032639888533577)]",Hybrid,0.00011253856791881844,0.010608419671130024,0.9973980784416199
"[np.float64(26.350645373118702), np.float64(20.24961555451528), np.float64(-4.032639888533577)]",RC(ESN),8.691434141589859e-10,2.948123834168073e-05,0.9999999793218887
"[np.float64(12.966777115336015), np.float64(21.08063944030713), np.float64(-25.257198881319944)]",RNN,0.0019561401568353176,0.04422827327440353,0.9463348388671875
