IC,Method,MSE,RMSE,R2
"[-0.3756421993107759, -0.25210429864081185, -1.389613447171781]",RNN,4.6911329263821244e-05,0.006849184569262333,0.9979594349861145
"[-0.3756421993107759, -0.25210429864081185, -1.389613447171781]",Transfer,0.00016853837587404996,0.012982233085030093,0.9920714497566223
"[-0.3756421993107759, -0.25210429864081185, -1.389613447171781]",MAML,0.0027939744759351015,0.052858059706492266,0.8698579668998718
"[-0.3756421993107759, -0.25210429864081185, -1.389613447171781]",PINN,0.00010269478661939502,0.01013384362516982,0.9955599904060364
"[-0.3756421993107759, -0.25210429864081185, -1.389613447171781]",Hybrid,0.0001646716264076531,0.012832444288118031,0.9922272562980652
"[-0.3756421993107759, -0.25210429864081185, -1.389613447171781]",RC(ESN),3.1669397049399056e-06,0.0017795897574834222,0.9998602429785484
"[0.6173322768538437, -0.1357870477669144, 1.2879049567742793]",RNN,3.396278407308273e-05,0.005827759781689936,0.9983850121498108
"[0.6173322768538437, -0.1357870477669144, 1.2879049567742793]",Transfer,8.843435352900997e-05,0.009403954143285152,0.995439350605011
"[0.6173322768538437, -0.1357870477669144, 1.2879049567742793]",MAML,0.002808168763294816,0.052992157564066174,0.8896427154541016
"[0.6173322768538437, -0.1357870477669144, 1.2879049567742793]",PINN,5.8628618717193604e-05,0.007656932722519743,0.9969014525413513
"[0.6173322768538437, -0.1357870477669144, 1.2879049567742793]",Hybrid,8.967961184680462e-05,0.009469931987443449,0.9954378008842468
"[0.6173322768538437, -0.1357870477669144, 1.2879049567742793]",RC(ESN),5.219730584861156e-06,0.0022846729710969916,0.9997787291948544
"[-1.0369943973744242, 1.3643321376452238, -0.30995663661392103]",RNN,6.188898260006681e-05,0.00786695510347344,0.9978194236755371
"[-1.0369943973744242, 1.3643321376452238, -0.30995663661392103]",Transfer,0.00020900693198200315,0.014457072040423785,0.992486298084259
"[-1.0369943973744242, 1.3643321376452238, -0.30995663661392103]",MAML,0.006063761655241251,0.0778701589522023,0.8117132782936096
"[-1.0369943973744242, 1.3643321376452238, -0.30995663661392103]",PINN,7.065162208164111e-05,0.008405451926079948,0.9972829222679138
"[-1.0369943973744242, 1.3643321376452238, -0.30995663661392103]",Hybrid,0.00022163618996273726,0.014887450754334581,0.9919049739837646
"[-1.0369943973744242, 1.3643321376452238, -0.30995663661392103]",RC(ESN),8.287088067196614e-06,0.002878730287330964,0.9997173253800763
"[-0.611117118926047, -0.48310577765625445, -0.6089836875703988]",RNN,6.259121437324211e-05,0.007911460950623603,0.9953019022941589
"[-0.611117118926047, -0.48310577765625445, -0.6089836875703988]",Transfer,0.00014284705684985965,0.011951864157940369,0.9871417880058289
"[-0.611117118926047, -0.48310577765625445, -0.6089836875703988]",MAML,0.003215852426365018,0.056708486369898975,0.6257205009460449
"[-0.611117118926047, -0.48310577765625445, -0.6089836875703988]",PINN,5.419157605501823e-05,0.007361492787133479,0.9963374137878418
"[-0.611117118926047, -0.48310577765625445, -0.6089836875703988]",Hybrid,0.00013213248166721314,0.011494889371682231,0.9882599711418152
"[-0.611117118926047, -0.48310577765625445, -0.6089836875703988]",RC(ESN),1.087325675989313e-06,0.0010427490954152455,0.9998987181892575
"[-2.088335297647083, 0.6393219981489847, 0.7743039526676175]",RNN,6.19407874182798e-05,0.00787024697314384,0.9974690079689026
"[-2.088335297647083, 0.6393219981489847, 0.7743039526676175]",Transfer,0.0002642140898387879,0.01625466363351724,0.9891905188560486
"[-2.088335297647083, 0.6393219981489847, 0.7743039526676175]",MAML,0.004410509951412678,0.06641167029530787,0.8169727921485901
"[-2.088335297647083, 0.6393219981489847, 0.7743039526676175]",PINN,6.5285486925859e-05,0.008079943497689758,0.9978548884391785
"[-2.088335297647083, 0.6393219981489847, 0.7743039526676175]",Hybrid,0.00025432344409637153,0.015947521565947843,0.9896676540374756
"[-2.088335297647083, 0.6393219981489847, 0.7743039526676175]",RC(ESN),3.0235569847815945e-06,0.0017388378259002748,0.9998824040408375
